#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.518	563	32.544	509
32.568	538	32.594	543
32.620	510	32.645	577
32.670	481	32.695	612
32.721	452	32.747	645
32.771	424	32.797	675
32.822	400	32.848	699
32.873	380	32.898	716
32.924	366	32.949	726
32.974	358	33.000	728
33.025	356	33.051	722
33.075	361	33.101	709
33.127	372	33.152	689
33.177	390	33.202	663
33.228	411	33.254	633
33.278	438	33.304	599
33.329	466	33.355	564
33.379	495	33.405	530
33.431	522	33.456	497
33.481	549	33.506	470
33.532	570	33.558	448
33.582	587	33.608	434
33.633	598	33.659	427
33.684	603	33.709	428
33.735	602	33.760	438
33.785	594	33.811	454
33.836	580	33.862	478
33.886	561	33.912	507
33.938	537	33.963	540
33.988	511	34.013	574
34.039	482	34.065	609
34.089	454	34.115	642
34.140	427	34.166	671
34.190	403	34.216	697
34.242	384	34.267	715
34.293	370	34.317	724
34.343	362	34.369	728
34.394	360	34.419	723
34.444	365	34.470	711
34.496	376	34.520	690
34.546	392	34.571	665
34.597	413	34.622	635
34.647	438	34.673	601
34.698	465	34.723	567
34.749	494	34.774	533
34.800	520	34.824	501
34.850	546	34.876	473
34.901	567	34.926	451
34.951	584	34.977	436
35.003	595	35.027	429
35.053	600	35.078	429
35.104	599	35.128	438
35.154	591	35.180	453
35.205	578	35.230	476
35.255	559	35.281	505
35.307	536	35.331	537
35.357	510	35.382	571
35.408	482	35.433	606
35.458	455	35.484	638
35.509	429	35.534	669
35.560	406	35.585	693
35.611	386	35.635	712
35.661	373	35.687	722
35.712	365	35.737	727
35.762	363	35.788	723
35.814	367	35.838	711
35.864	379	35.889	693
35.915	394	35.939	668
35.965	415	35.991	638
36.016	440	36.041	605
36.066	466	36.092	570
36.118	493	36.142	536
36.168	520	36.193	505
36.219	544	36.244	477
36.269	565	36.295	454
36.320	581	36.345	438
36.371	591	36.396	431
36.422	597	36.446	430
36.472	596	36.498	438
36.523	588	36.548	452
36.573	575	36.599	475
36.625	557	36.649	502
36.675	535	36.700	534
36.726	510	36.750	567
36.776	483	36.802	602
36.827	456	36.852	635
36.877	430	36.903	665
36.929	408	36.953	691
36.979	389	37.004	709
37.030	376	37.055	721
37.080	368	37.106	725
37.131	366	37.156	722
37.182	371	37.207	711
37.233	381	37.258	693
37.283	396	37.309	669
37.334	417	37.360	640
37.384	440	37.410	608
37.436	466	37.461	574
37.486	491	37.511	540
37.537	518	37.563	508
37.587	543	37.613	481
37.638	563	37.664	457
37.688	579	37.714	441
37.740	589	37.765	433
37.790	594	37.815	431
37.841	593	37.867	439
37.891	585	37.917	453
37.942	573	37.968	474
37.993	556	38.018	500
38.044	534	38.069	531
38.094	509	38.120	564
38.145	483	38.171	598
38.195	456	38.221	630
38.247	432	38.272	660
38.297	410	38.322	686
38.348	392	38.374	706
38.398	379	38.424	718
38.449	371	38.475	723
38.499	369	38.525	721
38.551	373	38.576	711
38.601	383	38.626	695
38.652	398	38.678	671
38.702	418	38.728	643
38.753	442	38.779	611
38.804	467	38.829	578
38.855	492	38.880	544
38.905	517	38.931	512
38.956	542	38.982	484
39.006	561	39.032	461
39.058	577	39.083	444
39.108	587	39.133	435
39.159	591	39.185	433
39.209	591	39.235	440
39.260	583	39.286	452
39.310	571	39.336	472
39.362	554	39.387	498
39.412	532	39.437	529
39.463	509	39.489	561
39.513	483	39.539	594
39.564	457	39.590	626
39.615	433	39.640	657
39.666	411	39.691	682
39.716	393	39.742	702
39.767	381	39.793	715
39.817	373	39.843	721
39.869	371	39.894	720
39.919	375	39.944	711
39.970	385	39.996	695
40.020	400	40.046	673
40.071	419	40.097	645
40.121	442	40.147	614
40.173	467	40.198	581
40.223	492	40.248	549
40.274	518	40.300	517
40.324	540	40.350	489
40.375	560	40.401	465
40.426	575	40.451	448
40.477	585	40.502	439
40.528	590	40.553	436
40.578	589	40.604	440
40.629	582	40.654	452
40.680	570	40.705	471
40.731	553	40.755	496
40.781	532	40.807	526
40.832	508	40.857	558
40.882	482	40.908	591
40.934	458	40.958	623
40.984	434	41.009	652
41.035	413	41.059	678
41.085	395	41.111	699
41.136	383	41.161	712
41.186	375	41.212	718
41.238	373	41.262	718
41.288	378	41.313	709
41.339	387	41.364	695
41.389	402	41.415	674
41.440	421	41.465	647
41.491	444	41.516	617
41.542	468	41.566	585
41.592	492	41.618	553
41.643	517	41.668	521
41.693	540	41.719	493
41.745	559	41.769	469
41.795	573	41.820	451
41.846	583	41.870	442
41.896	588	41.922	438
41.947	587	41.972	441
41.997	580	42.023	453
42.049	567	42.073	471
42.099	551	42.124	495
42.150	531	42.175	523
42.200	508	42.226	555
42.251	482	42.276	587
42.302	457	42.327	619
42.353	435	42.377	648
42.403	414	42.429	674
42.454	397	42.479	695
42.504	384	42.530	708
42.556	377	42.580	716
42.606	375	42.631	716
42.657	380	42.681	709
42.707	389	42.733	695
42.758	404	42.783	674
42.808	422	42.834	649
42.860	444	42.884	620
42.910	468	42.935	588
42.961	492	42.986	556
43.011	517	43.037	525
43.062	539	43.087	497
43.113	557	43.138	473
43.164	572	43.188	456
43.214	582	43.240	445
43.265	586	43.290	440
43.315	585	43.341	444
43.367	578	43.391	455
43.417	567	43.442	471
43.468	550	43.492	494
43.518	530	43.544	521
43.569	507	43.595	552
43.619	483	43.645	583
43.671	458	43.696	615
43.721	435	43.746	644
43.772	414	43.798	670
43.822	397	43.848	690
43.873	385	43.899	704
43.924	378	43.949	712
43.975	377	44.000	714
44.025	380	44.051	707
44.076	390	44.102	694
44.126	405	44.152	675
44.178	422	44.203	650
44.228	445	44.253	622
44.279	467	44.305	591
44.329	492	44.355	560
44.380	516	44.406	530
44.430	538	44.456	501
44.482	557	44.507	478
44.532	571	44.557	460
44.583	581	44.609	449
44.633	585	44.659	444
44.684	584	44.710	446
44.735	577	44.760	455
44.786	565	44.811	471
44.836	549	44.862	493
44.887	529	44.913	519
44.937	506	44.963	549
44.989	483	45.014	580
45.039	458	45.064	611
45.090	436	45.116	639
45.140	415	45.166	665
45.191	399	45.217	687
45.241	387	45.267	701
45.293	380	45.318	709
45.343	378	45.368	711
45.394	383	45.420	705
45.444	391	45.470	693
45.495	406	45.521	675
45.546	425	45.571	651
45.597	445	45.622	624
45.647	469	45.673	594
45.698	492	45.724	564
45.748	516	45.774	534
45.800	538	45.825	506
45.850	556	45.875	482
45.901	570	45.927	464
45.951	580	45.977	453
46.002	584	46.028	448
46.052	583	46.078	448
46.104	577	46.129	457
46.154	565	46.179	472
46.205	549	46.231	493
