Source,CH1
Second,Volt
-4.35500000000,0.20832,
-4.35479950000,0.05456,
-4.35460000000,-0.05456,
-4.35439950000,-0.21328,
-4.35420000000,-0.33232,
-4.35400000000,-0.46128,
-4.35380000000,-0.52576,
-4.35360000000,-0.50096,
-4.35340000000,-0.49104,
-4.35320000000,-0.44640,
-4.35299950000,-0.38192,
-4.35280000000,-0.29264,
-4.35260000000,-0.15872,
-4.35240000000,-0.05456,
-4.35220000000,0.06944,
-4.35200000000,0.17360,
-4.35180000000,0.27776,
-4.35159950000,0.38192,
-4.35140000000,0.43152,
-4.35120000000,0.47616,
-4.35100000000,0.50096,
-4.35080000000,0.49600,
-4.35060000000,0.46128,
-4.35040000000,0.37200,
-4.35019950000,0.30752,
-4.35000000000,0.15872,
-4.34980000000,0.04464,
-4.34960000000,-0.07936,
-4.34940000000,-0.23808,
-4.34920000000,-0.36704,
-4.34900000000,-0.46128,
-4.34879950000,-0.54064,
-4.34860000000,-0.49104,
-4.34840000000,-0.50096,
-4.34820000000,-0.42160,
-4.34800000000,-0.35712,
-4.34780000000,-0.26288,
-4.34760000000,-0.13888,
-4.34739950000,-0.05456,
-4.34720000000,0.08432,
-4.34700000000,0.19840,
-4.34680000000,0.29264,
-4.34660000000,0.39184,
-4.34640000000,0.43648,
-4.34620000000,0.49600,
-4.34599950000,0.49600,
-4.34580000000,0.47120,
-4.34560000000,0.45632,
-4.34540000000,0.36704,
-4.34520000000,0.28768,
-4.34500000000,0.15872,
-4.34480000000,0.01984,
-4.34459950000,-0.11904,
-4.34440000000,-0.24304,
-4.34419950000,-0.36704,
-4.34400000000,-0.47616,
-4.34380000000,-0.51584,
-4.34360000000,-0.53568,
-4.34340000000,-0.48608,
-4.34319950000,-0.44640,
-4.34300000000,-0.35712,
-4.34279950000,-0.26784,
-4.34260000000,-0.13392,
-4.34240000000,-0.03472,
-4.34220000000,0.10416,
-4.34200000000,0.19840,
-4.34179950000,0.29264,
-4.34160000000,0.39680,
-4.34139950000,0.46128,
-4.34120000000,0.49600,
-4.34100000000,0.50096,
-4.34080000000,0.47120,
-4.34060000000,0.43152,
-4.34039950000,0.34224,
-4.34020000000,0.27776,
-4.33999950000,0.14384,
-4.33980000000,-0.00992,
-4.33960000000,-0.11904,
-4.33940000000,-0.26784,
-4.33920000000,-0.38688,
-4.33899950000,-0.51088,
-4.33880000000,-0.52576,
-4.33859950000,-0.51584,
-4.33840000000,-0.47616,
-4.33820000000,-0.42160,
-4.33800000000,-0.34720,
-4.33780000000,-0.22816,
-4.33760000000,-0.12400,
-4.33740000000,0.00496,
-4.33719950000,0.12400,
-4.33700000000,0.22320,
-4.33680000000,0.32736,
-4.33660000000,0.42160,
-4.33640000000,0.46128,
-4.33620000000,0.47616,
-4.33600000000,0.49600,
-4.33579950000,0.46128,
-4.33560000000,0.42160,
-4.33540000000,0.33232,
-4.33520000000,0.23808,
-4.33500000000,0.11904,
-4.33480000000,-0.01984,
-4.33460000000,-0.13888,
-4.33439950000,-0.30752,
-4.33420000000,-0.41168,
-4.33400000000,-0.49104,
-4.33380000000,-0.52576,
-4.33360000000,-0.50096,
-4.33340000000,-0.47616,
-4.33320000000,-0.40672,
-4.33299950000,-0.33232,
-4.33280000000,-0.22320,
-4.33260000000,-0.10912,
-4.33240000000,0.00496,
-4.33220000000,0.14880,
-4.33200000000,0.25296,
-4.33180000000,0.32736,
-4.33159950000,0.41168,
-4.33140000000,0.47120,
-4.33120000000,0.51088,
-4.33100000000,0.49600,
-4.33080000000,0.45632,
-4.33060000000,0.42160,
-4.33040000000,0.34224,
-4.33019950000,0.22320,
-4.33000000000,0.10912,
-4.32980000000,-0.04464,
-4.32960000000,-0.17360,
-4.32940000000,-0.30256,
-4.32920000000,-0.43152,
-4.32900000000,-0.51584,
-4.32879950000,-0.54064,
-4.32860000000,-0.49104,
-4.32839950000,-0.47120,
-4.32820000000,-0.38192,
-4.32800000000,-0.32736,
-4.32780000000,-0.20336,
-4.32760000000,-0.05952,
-4.32739950000,0.02976,
-4.32720000000,0.17360,
-4.32699950000,0.22816,
-4.32680000000,0.34224,
-4.32660000000,0.43152,
-4.32640000000,0.47120,
-4.32620000000,0.51088,
-4.32599950000,0.47616,
-4.32580000000,0.47616,
-4.32559950000,0.39680,
-4.32540000000,0.30752,
-4.32520000000,0.21328,
-4.32500000000,0.07936,
-4.32480000000,-0.05456,
-4.32459950000,-0.20336,
-4.32440000000,-0.31744,
-4.32419950000,-0.44640,
-4.32400000000,-0.52576,
-4.32380000000,-0.52576,
-4.32360000000,-0.48608,
-4.32340000000,-0.46128,
-4.32319950000,-0.37200,
-4.32300000000,-0.27776,
-4.32279950000,-0.19840,
-4.32260000000,-0.04464,
-4.32240000000,0.04464,
-4.32220000000,0.16368,
-4.32200000000,0.27776,
