Source,CH1,CH2
Second,Volt,Volt
-0.010846,-2.96,-0.016
-0.010844,-2.96,-0.02
-0.010842,-2.96,-0.016
-0.01084,-2.96,-0.008
-0.010838,-2.96,-0.02
-0.010836,-2.96,-0.02
-0.010834,-2.96,-0.02
-0.010832,-2.96,-0.024
-0.01083,-2.88,-0.024
-0.010828,-2.96,-0.028
-0.010826,-2.96,-0.024
-0.010824,-2.88,-0.02
-0.010822,-2.88,-0.02
-0.01082,-2.96,-0.028
-0.010818,-2.88,-0.024
-0.010816,-2.88,-0.024
-0.010814,-2.88,-0.024
-0.010812,-2.88,-0.02
-0.01081,-2.88,-0.02
-0.010808,-2.88,-0.024
-0.010806,-2.88,-0.024
-0.010804,-2.88,-0.024
-0.010802,-2.88,-0.016
-0.0108,-2.88,-0.028
-0.010798,-2.88,-0.032
-0.010796,-2.88,-0.024
-0.010794,-2.88,-0.028
-0.010792,-2.88,-0.028
-0.01079,-2.8,-0.024
-0.010788,-2.8,-0.028
-0.010786,-2.8,-0.028
-0.010784,-2.8,-0.028
-0.010782,-2.8,-0.028
-0.01078,-2.8,-0.02
-0.010778,-2.8,-0.024
-0.010776,-2.8,-0.032
-0.010774,-2.72,-0.028
-0.010772,-2.72,-0.028
-0.01077,-2.72,-0.028
-0.010768,-2.72,-0.032
-0.010766,-2.72,-0.036
-0.010764,-2.8,-0.072
-0.010762,-2.72,-0.04
-0.01076,-2.72,-0.04
-0.010758,-2.72,-0.044
-0.010756,-2.72,-0.04
-0.010754,-2.72,-0.048
-0.010752,-2.72,-0.048
-0.01075,-2.72,-0.044
-0.010748,-2.72,-0.044
-0.010746,-2.72,-0.048
-0.010744,-2.72,-0.04
-0.010742,-2.64,-0.036
-0.01074,-2.72,-0.044
-0.010738,-2.64,-0.04
-0.010736,-2.64,-0.04
-0.010734,-2.64,-0.028
-0.010732,-2.72,-0.044
-0.01073,-2.64,-0.044
-0.010728,-2.64,-0.04
-0.010726,-2.64,-0.044
-0.010724,-2.64,-0.04
-0.010722,-2.64,-0.048
-0.01072,-2.64,-0.04
-0.010718,-2.64,-0.048
-0.010716,-2.56,-0.04
-0.010714,-2.56,-0.044
-0.010712,-2.56,-0.04
-0.01071,-2.56,-0.04
-0.010708,-2.56,-0.048
-0.010706,-2.56,-0.04
-0.010704,-2.56,-0.044
-0.010702,-2.56,-0.04
-0.0107,-2.56,-0.044
-0.010698,-2.56,-0.048
-0.010696,-2.56,-0.044
-0.010694,-2.48,-0.044
-0.010692,-2.48,-0.044
-0.01069,-2.56,-0.044
-0.010688,-2.56,-0.048
-0.010686,-2.48,-0.044
-0.010684,-2.48,-0.04
-0.010682,-2.48,-0.044
-0.01068,-2.48,-0.04
-0.010678,-2.48,-0.036
-0.010676,-2.48,-0.04
-0.010674,-2.48,-0.044
-0.010672,-2.48,-0.048
-0.01067,-2.4,-0.04
-0.010668,-2.48,-0.04
-0.010666,-2.48,-0.06
-0.010664,-2.48,-0.044
-0.010662,-2.48,-0.052
-0.01066,-2.4,-0.044
-0.010658,-2.4,-0.044
-0.010656,-2.4,-0.052
-0.010654,-2.4,-0.048
-0.010652,-2.4,-0.048
-0.01065,-2.32,-0.052
-0.010648,-2.4,-0.044
-0.010646,-2.4,-0.06
-0.010644,-2.32,-0.056
-0.010642,-2.32,-0.052
-0.01064,-2.32,-0.052
-0.010638,-2.4,-0.052
-0.010636,-2.32,-0.052
-0.010634,-2.32,-0.048
-0.010632,-2.32,-0.052
-0.01063,-2.4,-0.052
-0.010628,-2.32,-0.052
-0.010626,-2.32,-0.056
-0.010624,-2.32,-0.052
-0.010622,-2.24,-0.052
-0.01062,-2.32,-0.052
-0.010618,-2.32,-0.056
-0.010616,-2.24,-0.056
-0.010614,-2.32,-0.056
-0.010612,-2.24,-0.056
-0.01061,-2.24,-0.056
-0.010608,-2.24,-0.06
-0.010606,-2.24,-0.056
-0.010604,-2.24,-0.052
-0.010602,-2.16,-0.056
-0.0106,-2.24,-0.056
-0.010598,-2.24,-0.06
-0.010596,-2.24,-0.056
-0.010594,-2.16,-0.064
-0.010592,-2.16,-0.06
-0.01059,-2.16,-0.06
-0.010588,-2.16,-0.064
-0.010586,-2.16,-0.06
-0.010584,-2.16,-0.064
-0.010582,-2.16,-0.06
-0.01058,-2.16,-0.06
-0.010578,-2.16,-0.064
-0.010576,-2.16,-0.06
-0.010574,-2.16,-0.056
-0.010572,-2.08,-0.056
-0.01057,-2.16,-0.064
-0.010568,-2.08,-0.068
-0.010566,-2.08,-0.06
-0.010564,-2.08,-0.06
-0.010562,-2.08,-0.06
-0.01056,-2.08,-0.06
-0.010558,-2.08,-0.056
-0.010556,-2.16,-0.06
-0.010554,-2.08,-0.06
-0.010552,-2,-0.056
-0.01055,-2.08,-0.06
-0.010548,-2,-0.06
-0.010546,-2,-0.064
-0.010544,-2,-0.088
-0.010542,-2,-0.064
-0.01054,-1.92,-0.06
-0.010538,-2,-0.06
-0.010536,-2,-0.06
-0.010534,-1.92,-0.064
-0.010532,-1.92,-0.056
-0.01053,-2,-0.06
-0.010528,-1.92,-0.06
-0.010526,-1.92,-0.056
-0.010524,-1.92,-0.064
-0.010522,-1.92,-0.06
-0.01052,-1.92,-0.06
-0.010518,-1.92,-0.068
-0.010516,-1.92,-0.064
-0.010514,-1.92,-0.068
-0.010512,-1.92,-0.064
-0.01051,-1.92,-0.06
-0.010508,-1.84,-0.068
-0.010506,-1.84,-0.068
-0.010504,-1.84,-0.068
-0.010502,-1.84,-0.064
-0.0105,-1.84,-0.064
-0.010498,-1.84,-0.068
-0.010496,-1.76,-0.068
-0.010494,-1.84,-0.064
-0.010492,-1.84,-0.064
-0.01049,-1.84,-0.064
-0.010488,-1.84,-0.068
-0.010486,-1.76,-0.072
-0.010484,-1.76,-0.076
-0.010482,-1.76,-0.072
-0.01048,-1.76,-0.072
-0.010478,-1.76,-0.072
-0.010475999,-1.76,-0.076
-0.010474,-1.68,-0.08
-0.010471999,-1.68,-0.076
-0.01047,-1.68,-0.08
-0.010467999,-1.76,-0.076
-0.010466,-1.76,-0.076
