Source,CH1,CH2
Second,Volt,Volt
-0.11026,-1.08,-0.224
-0.11024,-1.08,-0.22
-0.11022,-0.9936,-0.224
-0.1102,-1.08,-0.224
-0.11018,-0.9936,-0.228
-0.11016,-0.9504,-0.228
-0.11014,-0.9504,-0.228
-0.11012,-0.9504,-0.232
-0.1100999875,-0.864,-0.232
-0.11008,-0.864,-0.228
-0.11006,-0.7776,-0.232
-0.11004,-0.6912,-0.232
-0.11002,-0.6912,-0.236
-0.11,-0.6912,-0.236
-0.10998,-0.6912,-0.236
-0.10996,-0.6048,-0.232
-0.10994,-0.6048,-0.236
-0.10992,-0.5184,-0.228
-0.1099,-0.5184,-0.236
-0.10988,-0.432,-0.236
-0.10986,-0.432,-0.24
-0.10984,-0.432,-0.24
-0.10982,-0.3888,-0.236
-0.1098,-0.3888,-0.236
-0.10978,-0.3888,-0.236
-0.10976,-0.3024,-0.228
-0.10974,-0.3024,-0.228
-0.10972,-0.216,-0.244
-0.1097,-0.1296,-0.232
-0.10968,-0.1296,-0.236
-0.10966,-0.1296,-0.24
-0.10964,-0.0432,-0.24
-0.10962,-0.0432,-0.236
-0.1096,-0.0432,-0.244
-0.10958,0.0432,-0.232
-0.10956,0.0432,-0.224
-0.10954,0.0864,-0.232
-0.10952,0.0864,-0.236
-0.1095,0.0864,-0.22
-0.1094799875,0.1296,-0.232
-0.10946,0.1296,-0.232
-0.10944,0.1296,-0.232
-0.10942,0.216,-0.232
-0.1094,0.216,-0.224
-0.10938,0.3024,-0.224
-0.10936,0.3024,-0.232
-0.10934,0.3888,-0.228
-0.10932,0.3888,-0.232
-0.1093,0.3888,-0.236
-0.10928,0.4752,-0.228
-0.10926,0.4752,-0.236
-0.10924,0.5616,-0.228
-0.10922,0.5616,-0.228
-0.1092,0.5616,-0.228
-0.10918,0.6048,-0.224
-0.10916,0.7776,-0.1
-0.10914,0.6912,-0.224
-0.10912,0.6912,-0.232
-0.1091,0.7776,-0.22
-0.10908,0.7776,-0.224
-0.10906,0.864,-0.216
-0.10904,0.864,-0.216
-0.10902,0.864,-0.208
-0.109,0.864,-0.22
-0.10898,0.9504,-0.228
-0.10896,0.9504,-0.208
-0.10894,1.0368,-0.204
-0.10892,1.0368,-0.216
-0.1089,1.1232,-0.2
-0.10888,1.1232,-0.196
-0.10886,1.1664,-0.204
-0.10884,1.1664,-0.2
-0.10882,1.2528,-0.196
-0.1088,1.2528,-0.2
-0.10878,1.2528,-0.184
-0.10876,1.2528,-0.196
-0.10874,1.3392,-0.188
-0.10872,1.4256,-0.196
-0.1087,1.4256,-0.188
-0.10868,1.512,-0.192
-0.10866,1.512,-0.184
-0.10864,1.512,-0.196
-0.10862,1.512,-0.184
-0.1086,1.5984,-0.18
-0.10858,1.5984,-0.18
-0.10856,1.5984,-0.176
-0.10854,1.6848,-0.168
-0.1085199875,1.728,-0.164
-0.1085,1.728,-0.164
-0.10848,1.8144,-0.156
-0.10846,1.728,-0.164
-0.10844,1.8144,-0.164
-0.10842,1.8144,-0.16
-0.1084,1.9008,-0.152
-0.10838,1.9008,-0.152
-0.10836,1.9872,-0.14
-0.10834,1.9872,-0.152
-0.10832,2.0736,-0.14
-0.1083,2.0736,-0.144
-0.10828,2.16,-0.124
-0.10826,2.16,-0.14
