Source,CH1,CH2
Second,Volt,Volt
-0.008192,4.08,0.156
-0.008190001,4.16,0.152
-0.008188,4.16,0.156
-0.008186001,4.16,0.152
-0.008184,4.16,0.156
-0.008182001,4.16,0.156
-0.00818,4.16,0.16
-0.008178001,4.16,0.156
-0.008176,4.16,0.156
-0.008174,4.16,0.164
-0.008172,4.16,0.16
-0.00817,4.16,0.16
-0.008168,4.16,0.156
-0.008166,4.24,0.168
-0.008164,4.24,0.168
-0.008162,4.16,0.168
-0.00816,4.16,0.164
-0.008158,4.16,0.164
-0.008156,4.16,0.164
-0.008154,4.24,0.16
-0.008151999,4.16,0.168
-0.00815,4.16,0.176
-0.008147999,4.16,0.168
-0.008146,4.16,0.168
-0.008143999,4.16,0.168
-0.008142,4.16,0.168
-0.008139999,4.16,0.164
-0.008138,4.16,0.172
-0.008135999,4.16,0.168
-0.008134,4.16,0.172
-0.008131999,4.16,0.176
-0.00813,4.16,0.176
-0.008128001,4.16,0.172
-0.008126,4.16,0.172
-0.008124001,4.16,0.176
-0.008122,4.16,0.18
